#"Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)","Speed (ns/day)"
51000,51.0,-642013.851317,298.306038424,1.00003168113,0
52000,52.0,-642677.15039,302.052950427,1.00564667296,19
53000,53.0,-642037.67128,299.558208577,1.00302489576,18.3
54000,54.0,-644335.907702,299.73596621,1.00053348705,18.2
55000,55.0,-643714.231163,300.850899915,0.999671999264,18.1
56000,56.0,-641924.798398,302.644202381,1.00051968292,18
57000,57.0,-642033.554266,301.756983046,1.00162400373,17.9
58000,58.0,-641825.608737,300.745173475,1.00273079235,17.9
59000,59.0,-642151.198192,301.097329573,0.998120382831,17.8
60000,60.0,-642298.018116,299.025515111,1.00297518941,17.8
61000,60.9999999999,-644676.401449,300.344352716,1.00445362537,17.8
62000,61.9999999999,-644117.654316,298.581065046,1.00505111137,17.8
63000,62.9999999999,-643259.361969,300.4681689,1.00499180984,17.7
64000,63.9999999999,-643544.450695,300.116785494,1.00564531051,17.7
65000,64.9999999999,-644307.028993,300.832821165,1.00409020989,17.7
66000,66.0,-643823.352773,301.37560532,1.00243000365,17.7
67000,67.0,-643897.277735,301.674816898,1.00118540858,17.7
68000,68.0,-644240.317014,298.862973271,1.00302296685,17.7
69000,69.0,-643480.065056,299.737787497,1.00426683703,17.7
70000,70.0,-642769.933186,300.147496195,1.0011418851,17.6
71000,71.0,-642971.97491,298.581719538,1.001434722,17.6
72000,72.0,-644676.758229,299.992751138,1.00149480789,17.6
73000,73.0,-642954.910271,300.976091961,1.00016302888,17.6
74000,74.0,-643197.914494,299.778603258,1.00069163562,17.6
75000,75.0,-643797.719508,298.853158711,1.00074052369,17.6
76000,76.0,-643577.657132,299.90290433,1.00056937523,17.6
77000,77.0,-641881.04457,299.608261727,0.999179926298,17.6
78000,78.0,-642088.798811,299.866450882,1.00332609964,17.6
79000,79.0,-641770.915442,302.345366806,1.00633694686,17.6
80000,80.0,-642279.928775,301.967392915,0.999722827213,17.6
81000,81.0,-644440.790668,301.16859063,1.00205707829,17.6
82000,82.0,-643223.345632,301.328032376,1.00420956245,17.6
83000,83.0,-642698.241592,299.637418527,1.0042945235,17.6
84000,84.0,-642477.489954,301.314943515,1.00563191026,17.6
85000,85.0,-643473.101634,300.881995744,1.00232886201,17.6
86000,86.0,-643671.950324,299.707048965,1.00011196255,17.6
87000,87.0000000001,-642140.147759,296.852678952,0.99738070862,17.6
88000,88.0000000001,-643499.524898,300.629185932,1.00076901374,17.6
89000,89.0000000001,-644399.369473,298.661835755,1.00180741641,17.6
90000,90.0000000001,-644348.818262,298.631603224,1.00217897028,17.6
91000,91.0000000001,-644609.024931,299.769938195,1.0010622406,17.6
92000,92.0000000001,-644303.740164,299.755863934,1.00047889977,17.6
93000,93.0000000001,-643295.097908,302.250270633,0.999889564792,17.6
94000,94.0000000001,-643353.540768,300.40055575,1.00435961361,17.6
95000,95.0000000001,-643040.296052,300.091581111,1.00298518788,17.6
96000,96.0000000001,-642853.189036,299.938695249,1.00521777806,17.6
97000,97.0000000001,-642686.514014,299.531886596,1.00284022009,17.6
98000,98.0000000001,-642338.665826,298.716975319,1.00450990617,17.5
99000,99.0000000001,-643547.00792,299.954031631,1.00544040778,17.5
100000,100.0,-643396.135039,302.536927265,1.00014381586,17.5
101000,101.0,-643785.166015,300.702827429,1.00517801106,17.5
102000,102.0,-644708.401423,300.143142703,1.0055284719,17.5
103000,103.0,-642875.541788,299.987220054,1.00203453499,17.5
104000,104.0,-643192.905045,301.459262301,1.00216856924,17.5
105000,105.0,-643363.740679,300.042466639,1.00314992054,17.5
106000,106.0,-643833.161152,299.873864146,1.00494312188,17.5
107000,107.0,-644135.768675,298.600210507,1.00574687887,17.5
108000,108.0,-644282.456881,300.186628975,0.999669951453,17.5
109000,109.0,-644294.540992,301.203833509,1.00199436912,17.5
110000,110.0,-643343.320173,300.021455975,1.0017873836,17.5
111000,111.0,-640827.918509,298.761150027,0.998185567527,17.5
112000,112.0,-642590.126589,300.831012854,1.00257736011,17.5
113000,113.0,-641966.214622,300.871687965,1.0030435729,17.5
114000,114.0,-641432.034952,299.700307057,0.999408085559,17.5
115000,115.0,-642857.930213,299.643981616,1.0045724418,17.5
116000,116.0,-642128.893812,300.943183981,1.00483030463,17.5
117000,117.0,-646159.354666,299.370845369,1.00699600638,17.5
118000,118.0,-644078.323501,297.686475705,1.00488712485,17.5
119000,119.0,-642969.614655,298.819095571,1.00264829856,17.5
120000,120.0,-643775.058214,301.235479208,1.00477648952,17.5
121000,121.0,-642850.226915,298.498065406,1.00368586096,17.4
122000,122.0,-642811.335872,299.803777461,1.00311427274,17.4
123000,123.0,-642940.480049,299.911848902,1.00122476838,17.4
124000,124.0,-642121.978466,299.52373479,1.00179673639,17.4
125000,125.0,-644214.631128,300.452791261,1.00301794947,17.4
126000,126.0,-642983.731415,301.905171301,1.00066693244,17.4
127000,127.0,-643061.323501,301.289595603,1.00463839624,17.4
128000,128.0,-643199.54564,301.587567677,1.00282957479,17.4
129000,129.0,-642822.97873,301.893517367,1.00249006231,17.4
130000,130.0,-644095.124821,301.831340839,1.0054670844,17.4
131000,131.0,-644861.797155,296.879045163,1.01053372378,17.4
132000,132.0,-643593.483195,299.895033,1.0031483551,17.4
133000,133.0,-642103.960171,300.213251813,1.00146437078,17.4
134000,134.0,-642502.486592,300.297756126,1.00152235344,17.4
135000,135.0,-643829.283552,301.192425254,1.00235951742,17.4
136000,136.0,-642921.064624,302.090503439,1.00437337232,17.4
137000,137.0,-643457.427175,300.857329747,1.00270709233,17.4
138000,138.0,-643742.767314,300.838576091,1.00407831006,17.4
139000,139.0,-642498.871437,301.508937346,1.0034475957,17.4
140000,140.0,-642765.192207,301.716975388,1.00171368494,17.4
141000,141.0,-644675.788094,299.732851895,1.00528071345,17.4
142000,142.0,-644757.215983,301.998834085,1.00397131773,17.4
143000,143.0,-643399.548826,297.648497985,1.00116417371,17.4
144000,144.0,-645076.157236,300.513283048,1.00613387466,17.4
145000,145.0,-643454.318171,300.58971998,1.00596381105,17.4
146000,146.0,-643465.781616,300.400778767,1.0054091986,17.4
147000,147.0,-644324.061291,299.852221391,1.006347089,17.4
148000,148.0,-644262.797371,299.647602691,1.00452986249,17.4
149000,149.0,-643447.158743,300.006182127,0.999273319045,17.4
150000,150.0,-644205.279613,300.587869332,1.00269932821,17.4
151000,151.0,-641900.338008,297.784296968,1.00023973086,17.4
152000,152.0,-644186.46941,299.135381656,1.00570199808,17.4
153000,153.0,-643975.815437,300.123520462,1.00344805982,17.4
154000,154.0,-642425.700799,299.934757579,1.00246943488,17.3
155000,155.0,-642548.920718,298.355097244,1.00116680331,17.3
156000,156.0,-641919.567868,304.633012116,1.00290656766,17.3
157000,157.0,-643029.639202,300.903438764,1.00154534929,17.3
158000,158.0,-643012.24712,298.122040766,1.00392219084,17.3
159000,159.0,-644724.584774,299.336300283,1.00599929748,17.3
160000,160.0,-644688.437876,299.532419757,1.00772202553,17.3
161000,161.0,-643812.065011,298.362695432,1.00141087684,17.3
162000,162.0,-644355.329675,299.520562791,0.999276727123,17.3
163000,163.0,-643528.656235,301.379084109,0.996049809057,17.3
164000,164.0,-644994.889511,300.556505203,1.00309792135,17.3
165000,165.0,-642854.349111,298.386606973,1.00097893556,17.3
166000,166.0,-643089.949315,298.345537024,1.00118967886,17.3
167000,167.0,-643673.00168,300.965003265,1.00464437166,17.3
168000,168.0,-644473.484944,298.69958227,1.00416397511,17.3
169000,169.0,-645153.232887,301.932570006,1.00822039341,17.3
170000,170.0,-644036.225591,303.574315185,1.00178776215,17.3
171000,171.0,-644157.875317,300.072789899,1.00358009867,17.3
172000,172.0,-643851.896067,300.77153718,1.00478176141,17.3
173000,173.0,-642633.098539,300.715607869,1.00180144829,17.3
174000,174.0,-644007.868229,301.38877167,1.00348024957,17.3
175000,175.0,-643787.068144,301.043055023,1.0015849175,17.3
176000,176.0,-643512.973024,299.384613611,1.00152578652,17.3
177000,177.0,-643085.847762,300.414769853,1.00023114511,17.3
178000,178.0,-640442.371511,297.476144071,0.998591157674,17.3
179000,179.0,-642981.269054,301.505503482,1.00018166069,17.3
180000,180.0,-642446.618999,299.68072783,0.999883061236,17.3
181000,181.000000001,-642172.388844,302.274842607,1.00011252908,17.3
182000,182.000000001,-643688.791112,300.533298357,1.00382474409,17.3
183000,183.000000001,-642083.092398,303.011064515,1.00011238011,17.3
184000,184.000000001,-642383.205447,298.693146316,1.00179747274,17.3
185000,185.000000001,-643591.215815,301.186694369,0.999654728893,17.3
186000,186.000000001,-643201.605032,299.047246845,1.00019229852,17.3
187000,187.000000001,-641785.230529,298.805493937,0.999300335637,17.3
188000,188.000000001,-643872.224857,303.530625946,1.00244536306,17.3
189000,189.000000001,-642247.519229,301.160318083,1.00159039749,17.3
190000,190.000000001,-642077.328606,301.441736183,0.99810090675,17.3
191000,191.000000001,-643087.999744,301.834775714,1.00056884197,17.3
192000,192.000000001,-642432.035959,300.60036476,1.00103306902,17.3
193000,193.000000001,-643042.324217,299.443406864,1.00249918008,17.3
194000,194.000000001,-643820.976388,303.344329658,1.00046295468,17.3
195000,195.000000001,-642383.39734,301.964162706,0.997569781455,17.3
196000,196.000000001,-644207.776312,300.915058328,1.00365141179,17.3
197000,197.000000001,-644738.99949,298.51870382,1.00536090857,17.3
198000,198.000000001,-643276.124487,298.023962646,1.00202276488,17.3
199000,199.000000001,-643324.530025,299.387989327,1.00368530587,17.3
200000,200.000000001,-644208.40788,300.511902275,1.00518551656,17.3
201000,201.000000001,-643787.28635,298.706617461,1.00380429998,17.2
202000,202.000000001,-643597.203985,301.858516212,1.00072385829,17.2
203000,203.000000001,-644016.807652,300.47603793,1.00127917399,17.2
204000,204.000000001,-643883.458616,300.259143614,1.0041406027,17.2
205000,205.000000001,-643034.357954,302.092482659,1.00415431947,17.2
206000,206.000000001,-643388.132197,299.602113948,1.00264766153,17.2
207000,207.000000001,-642664.747848,299.440320598,1.00291601534,17.2
208000,208.000000001,-642847.870644,299.748996538,1.00340644785,17.2
209000,209.000000001,-642450.862862,299.232744462,1.00465120734,17.2
210000,210.000000001,-642660.502142,300.758332256,1.00358693408,17.2
211000,211.000000001,-642456.265388,299.468037312,1.00649989279,17.2
212000,212.000000001,-643875.047874,301.805229755,1.00639710993,17.2
