#"Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)","Speed (ns/day)"
51000,51.0,-641178.441036,299.372913539,0.988617126468,0
52000,52.0,-642999.245052,302.205883022,0.990794535064,18.3
53000,53.0,-642646.14285,298.96910347,0.992970573547,18.4
54000,54.0,-642520.165264,301.414483976,0.995862262088,18.4
55000,55.0,-640550.095733,300.656688475,0.994086343567,18.5
56000,56.0,-641583.928112,299.100551409,0.994292484697,18.5
57000,57.0,-643169.232064,300.880137191,0.999600022142,18.5
58000,58.0,-644818.906101,301.029405509,0.999067075155,18.5
59000,59.0,-643191.610986,298.983504349,1.00320923574,18.5
60000,60.0,-644947.854437,300.61301938,1.00373744425,18.5
61000,60.9999999999,-643073.582074,297.247609968,1.00115734545,18.5
62000,61.9999999999,-642986.44161,299.472972366,1.00092163817,18.5
63000,62.9999999999,-643473.517927,299.392424141,1.00264284038,18.5
64000,63.9999999999,-643685.285112,301.080575301,1.00380632986,18.5
65000,64.9999999999,-643557.211949,301.694366899,1.00292052197,18.5
66000,66.0,-644995.995505,300.46614084,1.00337471111,18.5
67000,67.0,-643588.816514,300.473612732,1.00343302719,18.5
68000,68.0,-642743.053943,300.586319913,1.0056922941,18.5
69000,69.0,-642625.741417,300.05122216,1.00401561137,18.5
70000,70.0,-643599.975574,299.449776708,1.00075352521,18.5
71000,71.0,-643536.531718,299.593802157,1.0017558828,18.5
72000,72.0,-643509.125146,302.482105942,1.00153442571,18.5
73000,73.0,-643717.60911,301.705403741,1.00437972058,18.5
74000,74.0,-642799.163289,297.384261902,0.998874742521,18.5
75000,75.0,-644786.360103,301.582238745,1.0008385882,18.5
76000,76.0,-642248.195843,300.857503035,0.999628214686,18.5
77000,77.0,-644158.650386,298.426292717,0.999894486122,18.5
78000,78.0,-643543.423586,300.660169009,0.99978410852,18.5
79000,79.0,-644190.748911,300.845996524,1.00179313849,18.5
80000,80.0,-643826.881241,302.220927172,1.00236655112,18.5
81000,81.0,-642057.18198,297.675824704,0.999071707492,18.5
82000,82.0,-643775.784339,300.699381315,1.00368718844,18.5
